<<<<<<< HEAD
-1444.24401247762 1000
-1287.81855839137 1000
-1231.7730788485 1000
-1163.58972127091 1000
-1112.94889708598 1000
-633.134279577066 1000
-1102.70524484949 1000
-1090.47337328695 1000
-1041.36901090877 1000
-1044.8122631679 1000
-1010.28402702245 1000
-932.454660767246 1000
-1010.74152705051 1000
-1000.90615307401 1000
-995.173393675706 1000
-915.5500461826 1000
-816.853367615456 1000
-816.853367615456 1000
-690.104611584035 1000
-692.071296015463 1000
-688.144888437351 1000
-672.644736334372 1000
-652.709062760585 1000
-553.761209757179 1000
-632.289822502709 1000
-594.183895893067 1000
-168.833098851639 1000
-168.833098851639 1000
-116.302449418896 1000
-106.285153262315 1000
-238.399153775362 1000
-258.705508635353 1000
-167.380808795023 1000
-62.8480389852604 1000
-89.7248969827393 1000
30.2114114283803 1000
-288.947400766097 1000
-574.846904600927 1000
-443.050216820458 1000
-106.465345660584 1000
-125.643612839146 1000
-139.446520685965 1000
-139.174317487022 1000
188.897990653675 1000
252.624287276514 1000
58.5445625880789 1000
-88.520441396395 1000
-36.0669637790556 1000
3.8798801690067 1000
2.53250424587964 1000
23.7572277457953 1000
151.135184674458 1000
187.280641761144 1000
186.019380121119 1000
275.765939298422 1000
160.875993301258 1000
125.187975239277 1000
71.1954652168139 1000
71.1954652168139 1000
-200.008373509848 1000
-163.870882673006 1000
-36.812092886239 1000
90.5888377235482 1000
126.633160822439 1000
1017.26778332896 1000
1120.88436159898 1000
756.13624494026 1000
690.057663074724 1000
715.91169829272 1000
-156.349974824138 1000
376.106621537091 1000
556.117231650553 1000
706.422135711264 999.974
590.030140783236 999.974
673.351507449114 999.974
546.688903642757 999.974
776.34710182627 999.974
853.084453995116 999.974
982.598113190871 999.974
863.818042229789 999.974
576.180974351184 999.974
808.246067720017 999.974
576.596945265368 999.974
603.753186736728 999.974
588.054418400375 999.974
588.054418400375 999.974
516.413209995 999.974
516.413209995 999.974
311.495686700849 999.974
300.490152398664 999.974
248.483634215632 999.974
233.720481878151 999.974
